cleaned_text,sentiment
"i srsly hate the stupid twitter api timeout thing , soooo annoying ! ! ! ! ! :(",0
"@psychemedia i really liked @kswedberg 's "" learning jquery "" book . http://bit.ly/pg0lt is worth a look too",1
jquery ui 1.6 book review - http://cfbloggers.org/?c=30631,1
"very interesting ad from adobe by goodby , silverstein & amp ; partners - youtube - adobe cs4 : le sens propre http://bit.ly/vprpt",1
goodby silverstein agency new site ! http://www.goodbysilverstein.com/ great !,1
"rt @designplay goodby , silverstein 's new site : http://www.goodbysilverstein.com/ i enjoy it . * nice find ! *",1
the ever amazing psyop and goodby silverstein & amp ; partners for hp ! http://bit.ly/g2ru8 have to go play with after effects now !,1
top ten most watched on viral - video chart .   love the nike # mostvaluablepuppets campaign from wieden & amp ; kennedy http://bit.ly/nr1n9,1
zomg ! ! ! i have a g2 ! ! ! ! ! ! !,1
ok so lots of buzz from io2009 but how lucky are they - a free g2 ! ! http://is.gd/hyzl,1
just got a free g2 android at google i / o ! ! !,1
guess i 'll be retiring my g1 and start using my developer g2 woot # googleio,1
at gwt fireside chat @googleio,1
i am happy for philip being at googleio today,1
lakers played great !   can not wait for thursday night lakers vs. ? ? ?,1
"hi there , does anyone have a great source for advice on viral marketing ? ... http://link.gs/ytz8",1
judd apatow creates fake sitcom on nbc.com to market his new movie ... viral marketing at its best . http://is.gd/k0yk,1
"here 's a case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50 oz",1
viral marketing fail . this acia pills brand oughta get shut down for hacking into people 's messenger 's .   i get 5 - 6 msgs in a day ! arrrgh !,0
watching night at the museum . lmao,1
i loved night at the museum ! ! !,1
going to see the new night at the museum   movie with my family oh boy a three year old in the movies fuin,1
just got back from the movies .   went to see the new night at the museum with rachel .   it was good,1
just saw the new night at the museum movie ... it was ... okay ... lol 7\10,1
going to see night at the museum 2 with tall boy,1
@shannyoday i will take you on a date to see night at the museum 2 whenever you want ... it looks soooooo good,1
no watching the night at the museum . getting really good,1
"night at the museum , wolverine and junk food - perfect monday !",1
saw night at the museum 2 last night .. pretty crazy movie .. but the cast was awesome so it was well worth it . robin williams forever !,1
i saw night at the museum : battle of the swithsonian today . it was okay . your typical [ kids ] ben stiller movie .,1
taking katie to see night at the museum .   ( she picked it ),1
night at the museum tonite instead of up . :( oh well . that 4 yr old better enjoy it . lol,0
gm says expects announcment on sale of hummer soon - reuters : wdsugm says expects announcment on sale of hummer .. http://bit.ly/4e1fv,1
it 's unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0
tell me again why we are giving more $ $ to gm ? ? we should use that $ for all the programs that support the unemployed .,0
@jdreiss oh yes but if gm dies it will only be worth more boo hahaha,0
time warner cable is down again 3rd time since memorial day bummer !,0
"i would rather pay reasonable yearly taxes for "" free "" fast internet , than get gouged by time warner for a slow connection .",0
nooooooo my dvr just died and i was only half way through the ea presser . hate you time warner,0
f*ck time warner cable ! ! ! you f*cking suck balls ! ! ! i have a $ 700 hd tv & amp ; my damn hd channels hardly ever come in . bullshit ! !,0
time warner has the worse customer service ever . i will never use them again,0
time warner is the devil . worst possible time for the internet to go out .,0
fuck no internet damn time warner !,0
time warner really picks the worst time to not work . all i want to do is get to mtv.com so i can watch the hills . wtfffff .,0
i hate time warner ! soooo wish i had vios . ca nt watch the fricken mets game w/o buffering . i feel like i m watching free internet porn .,0
ahh ... got rid of stupid time warner today & amp ; now taking a nap while the roomies cook for me . pretty good end for a monday :),0
time warner 's hd line up is crap .,0
is being fucked by time warner cable . did nt know modems could explode . and susan boyle sucks too !,0
time warner cable pulls the plug on ' the girlfriend experience ' - ( www.tinyurl.com/m595fk ),1
time warner cable slogan : where calling it a day at 2 pm happens .,0
"rocawear heads to china , building 300 stores   - http://tinyurl.com/nofet3",1
"climate focus turns to beijing : the united nations , the us and european governments have called on china to co - o .. http://tinyurl.com/lto92n",1
myfoxdc barrie students back from trip to china : a silver spring high school 's class trip to china has en .. http://tinyurl.com/nlhqba,1
"three china aerospace giants develop tianjin binhai   new area ,   22.9 b yuan invested    http://bit.ly/mmidv",1
http://xi.gs/04fo gm ceo : china will continue to be key partner,1
rt @latimesautos is now the time to buy a gm car ? http://bit.ly/nrzlu,1
recovering from surgery .. wishing @julesrenner was here :(,0
"my wrist still hurts . i have to get it looked at . i hate the dr / dentist / scary places . :( time to watch eagle eye . if you want to join , txt !",1
dentist tomorrow . have to brush well in the morning . like i make my hair all nice before i get it cut . why ?,1
"the dentist lied ! "" u wo n't feel any discomort ! prob wo n't even need pain pills "" man u twippin this shit hurt ! ! how many pills can i take ! !",0
@kirstiealley my dentist is great but she 's expensive ... =(,0
@kirstiealley pet dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,1
is studing math ;) tomorrow exam and dentist :),1
my dentist was wrong ... wrong,0
going to the dentist later.:|,0
son has me looking at cars online .   i hate car shopping .   would rather go to the dentist !   anyone with a good car at a good price to sell ?,0
ncaa baseball super regional - rams club http://bit.ly/ro7nx,1
just started playing major league baseball 2k9 . http://raptr.com/h3llgwar,1
cardinals baseball advance to super regionals . face cs - fullerton friday .,1
sony coupon code .. expires soon .. http://www.coupondork.com/r/1796,1
waiting in line at safeway .,1
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts . how jacked up is that ?,0
did not realize there is a gym above safeway !,1
"@xphile1908 i have three words for you : "" safeway dot com """,1
safeway is very rock n roll tonight,1
bout to hit safeway i got ta eat,1
jake 's going to safeway !,1
found a safeway . picking up a few staples .,1
safeway super - marketing via mobile coupons http://bit.ly/onh7w,1
the safeway bathroom still smells like ass !,0
"at safeway on elkhorn , they move like they 're dead !",0
your normal weight ( and how to get there ) ? normal eating blog http://bit.ly/zet8o,1
is eating and watching movies ....,1
eating sashimi,1
is eating   home made yema,1
eating cake,1
i love dwight howard 's vitamin water commercial ... now i wish he was with nike and not adidas . lol .,1
found nothing at nike factory :/ off to banana republic outlet ! http://myloc.me/2zic,0
iphone may get radio tagging and nike   : recently - released itunes version 8.2 suggests that voiceover functional .. http://tinyurl.com/oq5ctc,1
is lovin his nike   already and that 's only from running on the spot in his bedroom,1
launched ! http://imgsearch.net   # imgsearch # ajax # jquery # webapp,1
@matthewcyan i finally got around to using jquery to make my bio collapse . yay for slide animations .,1
rt @jquery : the ultimate jquery list - http://jquerylist.com/,1
i just extracted and open - sourced a jquery plugin from stormweight to highlight text with a regular expression : http://bit.ly/ybjkb,1
@anna_debenham what was the php jquery hack ?,1
jquery cheat sheet http://www.javascripttoolbox.com/jquery/cheatsheet/,1
beginning javascript and css development with jquery # javascript # css # jquery http://bit.ly/to3e5,1
"@pdubyad right ! ! ! lol we 'll get there ! ! i have high expectations , warren buffet style .",1
"rt @blknprecious1 : rt great @dbroos "" someone 's sitting in the shade today because someone planted a tree a long time ago . ""- warren buffet",1
warren buffet on the economy http://ping.fm/lau0p,1
"warren buffet became ( for a time ) the richest man in the united states , not by working but investing in 1 big idea which lead to the fortune",1
"according to the create a school , notre dame will have 7 receivers in ncaa 10 at 84 or higher rating :) * sweet *",1
all - star basketball classic tuesday features top talent : chattanooga 's notre dame high school will play host .. http://bit.ly/qltja,1
@blondebroad it 's definitely under warranty & amp ; my experience is the amazon support for kindle is great ! had to contact them about my kindle2,1
"rt look , available ! amazon kindle2 & amp ; kindle dx , get it here : http://short.to/87ub the top electronic book reader period , free 2 day ship ...",1
time warner road runner customer support here absolutely blows . i hate not having other high - speed net options . i 'm ready to go nuclear .,0
time warner cable phone reps r dumber than nails ! ! ! ! ! ugh ! cable was working 10 mins ago now its not wtf !,0
@siratomofbones we tried but time warner was n't being nice so we recorded today . :),0
omg - time warner f'ed up my internet install - instead of today   its now next saturday - another week w/o internet ! & amp;$*ehfa^v9fhg [ * # fml .,0
"wth .. i have never seen a line this loooong at time warner before , ugh .",0
impatiently awaiting the arrival of the time warner guy . it 's way too pretty to be inside all afternoon,0
man accosts roger federer during french open http://ff.im/3hcpt,1
naive bayes using em for text classification . really frustrating ...,0
we went to stanford university today . got a tour . made me want to go back to college . it 's also decided all of our kids will go there .,1
investigation pending on death of stanford cs prof / google mentor rajeev motwani http://bit.ly/lwour tip @techmeme,1
"i 'm going to bed . it was a successful weekend . stanford , here i come .",1
"@karrisfoxy if you 're being harassed by calls about your car warranty , changing your number wo n't fix that . they call every number . # d - bags",0
just blocked united blood services using google voice . they call more than those car warranty guys .,0
# at&amp;t is complete fail .,0
@broskiii oh snap you work at at&amp;t do n't you,0
@mbjthegreat i really do nt want at&amp;t phone service .. they suck when it comes to having a signal,0
"i say we just cut out the small talk : at&amp;t 's new slogan : f__k you , give us your money . ( apologies to bob geldof . )",0
pissed about at&amp;t 's mid - contract upgrade price for the iphone ( it 's $ 200 more ) i 'm not going to pay $ 499 for something i thought was $ 299,0
safari 4 is fast :) even on my shitty at&amp;t tethering .,0
@ims what is at&amp;t fucking up ?,0
@springsingfiend @dvyers @sethdaggett @jlshack at&amp;t dropped the ball and is n't supporting crap with the new iphone 3.0 ... fail # att sucks ! ! !,0
"@mmbarnhill yay , glad you got the phone ! still , damn you , at&amp;t .",0
google wave developer sandbox account request http://bit.ly/2nylc,1
"talk is cheap : bing that , i?ll stick with google . http://bit.ly/xc3c8",0
"@defsounds wtf is the point of deleting tweets if they can still be found in summize and searches ? twitter , please fix that . thanks and bye",0
@mattcutts have google profiles stopped showing up in searches ? ca nt see them anymore,1
@arunbasillal i love google translator too ! : d good day mate !,1
reading on my new kindle2 !,1
my kindle2 came and i love it ! :),1
"loving my new kindle2 .   named her kendra in case u were wondering . the "" cookbook "" is the tool cuz it tells u all the tricks !   best gift evr !",1
the real aig scandal / http://bit.ly/b82px,0
any twitter to aprs apps yet ?,1
45 pros you should be following on twitter - http://is.gd/smbz,1
obama is quite a good comedian ! check out his dinner speech on cnn :) very funny jokes .,1
"' barack obama shows his funny side "" & gt;&gt ; http://tr.im/l0gy ! ! great speech ..",1
"i like this guy : ' barack obama shows his funny side "" & gt;&gt ; http://tr.im/l0gy ! !",1
obama 's speech was pretty awesome last night ! http://bit.ly/imxum,1
"reading   "" bill clinton fail - obama win ? "" http://tinyurl.com/pcyxj7",1
obama more popular than u.s . among arabs : survey : president barack obama 's popularity in leading arab countries .. http://tinyurl.com/prlvqu,1
obama 's got jokes ! ! haha just got to watch a bit of his after dinner speech from last night ... i 'm in love with mr . president ;),1
lebron james got in a car accident i guess .. just heard it on evening news ... wow i ca nt believe it .. will he be ok ? http://twtad.com/69750,0
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,1
"@khalid0456 no , lebron is the best",1
@the_real_usher lebron is cool .   i like his personality ... he has good character .,1
watching lebron highlights . damn that niggas good,1
@lou911 lebron is murdering shit .,1
@uscsports21 lebron is a monsta and he is only 24 . smh the world ai n't ready .,1
@cthagod when lebron is done in the nba he will probably be greater than kobe . like u said kobe is good but there alot of ' good ' players .,1
kobe is good bt lebron has my vote,1
kobe is the best in the world not lebron .,0
"@asherroth world cup 2010 access ? ? damn , that 's a good look !",1
just bought my tickets for the 2010 fifa world cup in south africa . its going to be a great summer . http://bit.ly/9gezi,1
share : disruption ... fred wilson 's slides for his talk at google hq   http://bit.ly/bo8pg,1
i have to go to booz allen hamilton for a 2hr meeting :(   but then i get to go home :),0
"the great indian tamasha truly will unfold from may 16 , the result day for indian general election .",1
"@crlane i have the kindle2 . i 've seen pictures of the dx , but have n't seen it in person . i love my kindle - i 'm on it everyday .",1
@criticalpath such an awesome idea - the   continual learning program with a kindle2   http://bit.ly/1zlff,1
ok .. do nothing .. just thinking about 40d,1
"@faithbabywear ooooh , what model are you getting ? ? ? i have the 40d and love love love love it !",1
the times of india : the wonder that is india 's election . http://bit.ly/p7u1h,1
http://is.gd/aruj good video from google on using search options .,1
@ambcharlesfield lol . ah my skin is itchy :( damn lawnmowing .,0
itchy back ! ! do nt ya hate it !,0
stanford charity fashion show a top draw http://cli.gs/nenuah,1
stanford university?s facebook profile is one of the most popular official university pages - http://tinyurl.com/p5b3fl,1
lyx is cool .,1
sooo dissapointed they sent danny gokey home ... you still rock ... danny ... my hometown hero ! ! yeah milrockee ! !,1
"rt @passionmodel ' american idol ' fashion : adam lambert tones down , danny gokey cute ... http://cli.gs/7jwshv",1
@dannygokey i love you danny gokey ! ! :),1
rt @justindavey : rt @tweetmeme gm onstar now instantly sends accident location coordinates to 911 | gps obsessed http://bit.ly/16szl1,1
so tired . i did n't sleep well at all last night .,0
boarding plane for san francisco in 1 hour ; 6 hr flight . blech .,0
bonjour san francisco . my back hurts from last night ..,0
"breakers . in san francisco , ca http://loopt.us/4v88bw.t",1
heading to san francisco,1
with my best girl for a few more hours in san francisco . mmmmmfamily is wonderful !,1
"f * * * up big , or go home - aig",0
went to see the star trek movie last night .   very satisfying .,1
"i ca n't wait , going to see star trek tonight ! !",1
star trek was as good as everyone said ! !,1
am loving new malcolm gladwell book - outliers,1
i highly recommend malcolm gladwell 's ' the tipping point . ' my next audiobook will probably be one of his as well .,1
malcolm gladwell is a genius at tricking people into not realizing he 's a fucking idiot,0
"@sportsguy33 hey no offense but malcolm gladwell is a pretenious , annoying cunt and he brings you down . ca nt read his shit",0
rt @clashmore : http://bit.ly/soyv7   great article by malcolm gladwell .,1
i seriously underestimated malcolm gladwell .   i want to meet this dude .,1
i hate comcast right now . everything is down cable internet & amp ; phone .... ughh what am i to do,0
comcast sucks .,0
the day i never have to deal with comcast again will rank as one of the best days of my life .,0
@dommm did comcast fail again ? ?,0
how do you use the twitter api ? ... http://bit.ly/4vbhh,1
curses the twitter api limit,0
"now i can see why dave winer screams about lack of twitter api , its limitations and access throttles !",0
testing twitter api,1
arg . twitter api is making me crazy .,0
testing twitter api . remote update,1
i 'm really loving the new search site wolfram / alpha . makes google seem so ... quaint . http://www72.wolframalpha.com/,1
"# wolfram alpha sucks ! even for researchers the information provided is less than you can get from # google or # wikipedia , totally useless !",0
off to the nike factory ! ! !,1
new nike muppet commercials are pretty cute . why do we live together again ?,1
new blog post : nike zoom lebron soldier 3 ( iii ) - white / black - teal http://bit.ly/rouus,1
new blog post : nike trainer 1 http://bit.ly/394bp,1
@fraggle312 oh those are awesome ! i so wish they were n't owned by nike :(,0
@tonyhawk http://twitpic.com/5c7uj - awesome ! ! ! seeing the show friday at the shoreline amphitheatre . never seen nin before . ca n't wait . ...,1
"arhh , it 's weka bug . = = "" and i spent almost two hours to find that out . crappy me",0
"@mitzs hey bud :) np i do so love my 50d , although i 'd love a 5d mkii more",1
@jonduenas @robynlyn just got us a 50d for the office . : d,1
just picked up my new canon 50d ... it 's beautiful ! !   prepare for some seriously awesome photography !,1
just got my new toy . canon 50d . love love love it !,1
learning about lambda calculus :),1
"# jobs # sittercity help with taking care of sick child ( east palo alto , ca ) http://tinyurl.com/qwrr2 m",1
i 'm moving to east palo alto !,1
@ atebits i just finished watching your stanford iphone class session . i really appreciate it . you rock !,1
@jktweet hi ! just saw your stanford talk and really liked your advice . just saying hi from singapore ( yes the videos do get around ),1
# mba admissions tips stanford gsb deadlines and essay topics 2009 - 2010 http://tinyurl.com/pet4fd,1
ethics and nonprofits - http://bit.ly/qsxrp   # stanford # socialentrepreneurship,1
lakers tonight let 's go ! ! ! !,1
will the lakers kick the nuggets ass tonight ?,1
oooooooh ... north korea is in troubleeeee ! http://bit.ly/19epah,0
wat the heck is north korea doing ! ! ? ? ! ! they just conducted powerful nuclear tests ! follow the link : http://www.msnbc.msn.com/id/30921379,0
listening to obama ... friggin north korea ...,0
"i just realized we three monkeys in the white obama.biden , pelosi . sarah palin 2012",0
@foxnews pelosi should stay in china and never come back .,0
nancy pelosi gave the worst commencement speech i 've ever heard . yes i 'm still bitter about this,0
ugh . the amount of times these stupid insects have bitten me . grr ..,0
prettiest insects ever - pink katydids : http://bit.ly/2upw2p,1
just got barraged by a horde of insects hungry for my kitchen light . so scary .,0
just had mcdonalds for dinner . : d it was goooood . big mac meal . ;),1
ahh yes lol i m a tell my hubby to go get me sum mcdonalds =],1
stopped to have lunch at mcdonalds . chicken nuggetssss ! :) yummmmmy .,1
could go for a lot of mcdonalds . i mean a lot .,1
my exam went good . @helloleonie : your prayers worked (:,1
"only one exam left , and i am so happy for it : d",1
math review . i m going to fail the exam .,0
colin powell rocked yesterday on cbs . cheney needs to shut the hell up and go home.powell is a man of honor and served our country proudly,0
obviously not siding with cheney here : http://bit.ly/19j2d,0
absolutely hilarious ! ! ! from @mashable :   http://bit.ly/bccwt,1
@mashable i never did thank you for including me in your top 100 twitter authors ! you rock ! ( & amp ; i new wave : -d ) http://bit.ly/eorfv,1
learning jquery 1.3 book review - http://cfbloggers.org/?c=30629,1
rt @shrop : awesome jquery reference book for coda ! http://www.macpeeps.com/coda/ # webdesign,1
i 've been sending e - mails like crazy today to my contacts ... does anyone have a contact at goodby silverstein ... i'd love to speak to them,1
adobe cs4 commercial by goodby silverstein : http://bit.ly/1aikhf,1
"goodby , silverstein 's new site ... http://www.goodbysilverstein.com/ i enjoy it .",1
wow everyone at the google i / o conference got free g2 's with a month of unlimited service,1
@vkerkez dood i got a free google android phone at the i / o conference . the g2 !,1
"@orli the g2 is amazing btw , a huge improvement over the g1",1
"html 5 demos ! lots of great stuff to come ! yes , i 'm excited . :) http://htmlfive.appspot.com # io2009 # googleio",1
@googleio http://twitpic.com/62shi - yay ! happy place ! place place !   i love google !,1
# googleio | o3d - bringing 3d graphics to the browser . very nice tbh . funfun .,1
"awesome viral marketing for "" funny people "" http://www.nbc.com/yo-teach/",1
"watching a programme about the life of hitler , its only enhancing my geekiness of history .",1
saw night at the museum out of sheer desperation . who is funding these movies ?,0
night at the museum 2 ? pretty furkin good .,1
watching night at the museum - giggling .,1
"@pambeeslyjenna jenna , i went to see night at the museum 2 today and i was so surprised to see three cast members from the office ...",1
about to watch night at the museum with ryan and stacy,1
"getting ready to go watch night at the museum 2 .   dum dum , you give me gum gum !",1
"back from seeing ' star trek ' and ' night at the museum . ' ' star trek ' was amazing , but ' night at the museum ' was ; eh .",0
just watched night at the museum 2 ! so stinkin cute !,1
"so , night at the museum 2 was awesome ! much better than part 1 . next weekend we 'll see up .",1
"i think i may have a new favorite restaurant . on our way to see "" night at the museum 2 "" .",1
"up ! was sold out , so i 'm seeing night at the museum 2 . i 'm _ _ years old .",1
saw the new night at the museum and i loved it . next is to go see up in 3d,1
it is a shame about gm . what if they are forced to make only cars the white house thinks will sell ? what do you think ?,0
"as u may have noticed , not too happy about the gm situation , nor aig , lehman , et al",0
obama : nationalization of gm to be short - term    ( ap ) http://tinyurl.com/md347r,1
@pittstock $ gm good riddance .   sad though .,0
"i will never buy a government motors vehicle : until just recently , i drove gm cars . since 1988 , when i bought a .. http://tinyurl.com/lulsw8",0
having the old coca - cola guy on the gm board is stupid has heck ! # tcot # ala,0
# rantsandraves the worst thing about gm ( concord / pleasant hill / martinez ): is the fucking uaw . ..    http://buzzup.com/4ueb,0
"give a man a fish , u feed him for the day . teach him to fish , u feed him for life . buy him gm , and u f**k him over for good .",0
"the more i hear about this gm thing the more angry i get . billions wasted , more bullshit . all for something like 40k employees and all the ..",0
@quanttrader i own a gm car and it is junk as far as quality compared to a honda,0
sad day ... bankrupt gm,0
is upset about the whole gm thing . life as i know it is so screwed up,0
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,0
"time warner ceo hints at online fees for magazines       ( ap ) - read from mountain view , united states . views 16209 http://bit.ly/udfch",1
# wftb joining a bit late . my connection was down ( boo time warner ),0
cox or time warner ?   cox is cheaper and gets a b on dslreports .   tw is more expensive and gets a c.,0
i am furious with time warner and their phone promotions !,0
just got home from chick - fil - a with the boys . damn my internets down =( stupid time warner,0
could time - warner cable suck more ?   no .,0
pissed at time warner for causin me to have slow internet problems,0
"@sportsguy33 ummm , having some time warner problems ?",0
you guys see this ?   why does time warner have to suck so much ass ?   really wish i could get u - verse at my apartment . http://bit.ly/s594j,0
"rt @sportsguy33 the upside to time warner : unhelpful phone operators    superslow on - site service . crap , that 's not an upside .",0
"rt @sportsguy33 : new time warner slogan : "" time warner , where we make you long for the days before cable . """,0
"confirmed : it 's time warner 's fault , not facebook 's , that fb is taking about 3 minutes to load . so tempted to switch to verizon =/",0
@sportsguy33 time warner = epic fail,0
lawson to head newedge hong kong http://bit.ly/xlqsd # business # china,1
weird piano guitar house in china ! http://u2s.me/72i8,1
send us your gm / chevy photos http://tinyurl.com/luzkpq,1
i know . how sad is that ?   rt @caseymercier : 1st day of hurricane season . that 's less scarey than govt taking over gm .,0
"gm files bankruptcy , not a good sign ...",0
yankees won mets lost . its a good day .,1
